Train Loss,Train IoU,Validation Loss,Validation IoU
0.2922535,0.29941934,0.31844375,0.42460057
0.27581042,0.34036547,0.3232951,0.37999463
0.27947536,0.3358248,0.3193039,0.41152877
0.26900253,0.37395948,0.31675246,0.45328382
0.2593111,0.38321638,0.3157824,0.44825336
0.2601999,0.39489254,0.31587014,0.46809903
0.2578518,0.39965257,0.31518573,0.49794954
0.2571137,0.39801148,0.3171129,0.46274725
0.25730503,0.40460703,0.31462076,0.48778322
0.25293818,0.4241161,0.31835976,0.44471574
0.25434828,0.39604127,0.31638762,0.4465737
0.25317383,0.41431507,0.31517312,0.46907845
0.2539869,0.40758595,0.31356162,0.4787265
0.24831006,0.43118662,0.315032,0.4855646
0.25376406,0.4148388,0.31415504,0.4930548
0.24862434,0.41731787,0.31427765,0.48965663
0.24912599,0.42207646,0.31646955,0.45554
0.25026554,0.4100598,0.31304097,0.50926197
0.24223067,0.44919878,0.31220457,0.48429465
0.24222685,0.44610777,0.31191862,0.50959325
0.23999548,0.44345152,0.31204087,0.5161079
0.2394215,0.4519971,0.31113303,0.53254443
0.23895204,0.44467753,0.31174126,0.53219324
0.23870875,0.45550856,0.31127155,0.51827604
0.23839235,0.47176716,0.3113377,0.5178051
0.23660448,0.46825913,0.31185398,0.5340802
0.23988396,0.48364925,0.31058058,0.5406597
0.23212828,0.48828202,0.31112128,0.5417311
0.23364905,0.4748878,0.3101451,0.540919
0.23489565,0.48378003,0.31063488,0.5211272
0.2324258,0.47410414,0.3103246,0.52721566
0.23094659,0.49035847,0.30997404,0.5377798
0.22815037,0.49804267,0.3093531,0.5520117
0.22948918,0.49925816,0.30969122,0.53892833
0.22645456,0.49187255,0.3101268,0.54112494
0.23230256,0.47843683,0.30929857,0.5549619
0.22663799,0.5053096,0.309386,0.5429089
0.2276863,0.49204475,0.308572,0.5512715
0.22864605,0.5031263,0.30810228,0.55896217
0.23031868,0.5018933,0.30904904,0.5532782
0.22514495,0.5021051,0.30819538,0.5620883
0.22365424,0.5116707,0.30913424,0.5471464
0.22694421,0.5063022,0.30822057,0.5589428
0.22240333,0.51776695,0.3080156,0.5553971
0.22507034,0.51699203,0.30834562,0.5560866
0.22310632,0.5244641,0.30793425,0.5662199
0.21922506,0.52456474,0.30774075,0.57033145
0.22580498,0.51830727,0.30762866,0.5651166
0.21747406,0.518687,0.30787504,0.56817746
0.22230561,0.5312188,0.30802572,0.5684659
0.22145857,0.52593005,0.30732292,0.5718053
0.22409832,0.53113306,0.30736423,0.56922406
0.22338414,0.53278327,0.30766454,0.5642138
0.21561085,0.53260374,0.3070272,0.57271504
0.21993336,0.5282066,0.30710799,0.562805
0.22284503,0.52276385,0.30763766,0.555541
0.22043483,0.52741593,0.306831,0.57731616
0.2207456,0.53085136,0.30738866,0.57329935
0.2192308,0.5306119,0.3065075,0.5632738
0.2161967,0.53289783,0.30631983,0.5700445
0.21526894,0.53656274,0.30736935,0.5573274
0.21760316,0.5367401,0.30722037,0.5686243
0.2230352,0.530751,0.3078799,0.5674503
0.21991232,0.53972894,0.30743274,0.5597073
0.21437515,0.53574777,0.30734098,0.58287364
0.21628898,0.54420376,0.30717278,0.5805416
0.21580929,0.5505608,0.306841,0.5713077
0.2169893,0.5486117,0.30696318,0.5766439
0.21806332,0.5414234,0.30677104,0.58173954
0.21944034,0.5396093,0.30658266,0.5757067
0.21181622,0.5486673,0.30715558,0.5773318
0.21468522,0.5550956,0.30636582,0.5773058
0.21513025,0.54671097,0.30683655,0.57625836
0.21540207,0.5492705,0.30637842,0.5822922
0.21491195,0.5497441,0.3063375,0.57666606
0.21961337,0.54636693,0.30625805,0.5829813
0.21431749,0.54764795,0.30609456,0.5802967
0.21796788,0.54594475,0.30620912,0.584358
0.21422803,0.54671854,0.30616108,0.58277446
0.21236838,0.5506706,0.30626708,0.58415854
0.2164194,0.55934405,0.30653426,0.5791364
0.21461336,0.5503591,0.3060067,0.5776957
0.21252514,0.55441445,0.30631474,0.58358955
0.21604823,0.54886883,0.30643925,0.5854373
0.21430221,0.54455054,0.3062167,0.58721447
0.2107626,0.558068,0.30647257,0.58112717
0.21412349,0.55101144,0.30617476,0.5820733
0.21562573,0.54810727,0.30597523,0.5855491
0.21460876,0.56965476,0.30625305,0.58517617
0.21035345,0.5634882,0.3065973,0.5784473
0.21819489,0.55230683,0.30636188,0.5855656
0.21516243,0.54270023,0.3064043,0.5796582
0.212078,0.55387044,0.30590668,0.5877327
0.21414168,0.556248,0.30627862,0.58593035
0.21402247,0.55581903,0.30631492,0.57891804
0.20760892,0.5577046,0.30604213,0.5813815
0.21646321,0.5532117,0.3060515,0.58779514
0.2096581,0.55613565,0.3059141,0.5888468
0.21510485,0.5477212,0.30609003,0.5851256
0.21257177,0.5554154,0.30597946,0.5861004
