Train Loss,Train IoU,Validation Loss,Validation IoU
0.31467712,0.19306509,0.32597268,0.35537916
0.2994323,0.34574026,0.3226504,0.4155363
0.29412183,0.3312595,0.32435825,0.34511915
0.28874445,0.3433748,0.32410234,0.3210791
0.2872224,0.32807744,0.3203078,0.38940114
0.28309795,0.35379112,0.32446754,0.37819627
0.28647915,0.3248053,0.31603113,0.39386752
0.28106955,0.34257817,0.31856638,0.4134072
0.28336212,0.3401838,0.3206745,0.39054605
0.28490338,0.3410109,0.31902093,0.35514092
0.27954018,0.34672204,0.31673646,0.41452515
0.27247742,0.3702763,0.31479552,0.43533403
0.26598012,0.38264015,0.3140588,0.4389844
0.26273465,0.3877849,0.3132928,0.44064572
0.26149914,0.39691576,0.31306544,0.45163473
0.26085904,0.38502997,0.31433564,0.40885004
0.26097167,0.38470128,0.31309322,0.45553997
0.26354948,0.38270766,0.31312945,0.4432359
0.26143655,0.39894342,0.3131163,0.43127194
0.26177973,0.39470366,0.31262618,0.45680508
0.2540739,0.40321887,0.31041437,0.46118316
0.2526511,0.40732732,0.31136292,0.44244257
0.25014535,0.41346392,0.30972788,0.45948353
0.2566987,0.39290333,0.3086368,0.47669315
0.25422427,0.41603965,0.3094405,0.46358588
0.2518485,0.4052762,0.3098006,0.47463098
0.24891609,0.40655515,0.3096354,0.46916252
0.24761182,0.4218113,0.3084671,0.4800885
0.24154964,0.42366758,0.30862033,0.47095436
0.24787751,0.4151674,0.30800188,0.48789278
0.24247077,0.422602,0.3078042,0.4779893
0.2457579,0.42029515,0.3075855,0.48208845
0.24292515,0.42462727,0.3083714,0.48523837
0.24224187,0.432674,0.30813512,0.48448837
0.24093774,0.42771286,0.30715594,0.48829994
0.2378468,0.43793917,0.30802482,0.49018374
0.24242724,0.44031787,0.30782035,0.47273076
0.23865588,0.43505692,0.30792752,0.4898795
0.24302141,0.42236283,0.3083421,0.48907363
0.24001049,0.43002415,0.30716687,0.48937032
0.23553237,0.44424477,0.306198,0.49017882
0.23670585,0.44003195,0.306436,0.5055817
0.23425005,0.44907156,0.305989,0.5047242
0.23765302,0.45776957,0.30629477,0.5069006
0.23548134,0.45399535,0.30581206,0.50649583
0.23389259,0.45115325,0.3061904,0.4979575
0.2370588,0.4548849,0.30511802,0.5121692
0.2374685,0.46296203,0.30482823,0.5182515
0.23687318,0.46019074,0.30568025,0.49550152
0.23425968,0.4591045,0.30503774,0.5218614
